"id","problem_id","problemtag_id"
5,3,1
6,4,1
7,5,1
8,6,2
72,55,1
73,56,1
74,57,1
75,58,5
78,60,6
94,72,5
95,73,7
96,74,5
97,61,5
98,59,5
102,78,5
103,79,5
107,82,5
118,91,5
121,94,5
124,64,3
125,65,3
126,71,1
127,70,3
128,68,3
129,69,1
158,89,1
159,88,1
160,87,1
161,86,1
162,85,1
163,84,1
164,83,1
168,90,1
173,77,5
174,93,5
175,63,3
215,96,8
216,96,9
217,81,5
218,81,9
221,67,3
222,67,9
223,66,1
224,66,9
225,62,1
226,62,9
276,101,3
278,99,3
279,98,3
280,98,2
281,97,3
282,97,2
283,100,10
286,104,12
292,102,11
293,105,12
294,103,3
299,110,1
305,112,4
307,113,3
310,114,9
311,114,5
314,115,1
320,106,13
321,107,13
322,108,13
323,109,14
324,116,14
349,125,14
354,120,14
355,119,14
357,117,14
360,122,14
361,123,14
364,121,14
365,118,14
366,124,14
395,142,1
396,143,1
398,145,1
399,146,1
400,147,1
402,149,1
405,144,1
406,148,1
424,159,14
425,160,14
426,161,14
427,162,14
428,163,14
430,165,14
433,158,14
434,164,14
435,166,1
436,167,1
437,168,1
438,169,1
439,170,1
441,172,1
442,173,1
443,171,1
460,182,1
461,183,1
462,184,1
469,187,15
470,187,16
471,187,17
478,181,21
479,181,19
480,181,22
490,178,25
491,178,19
492,178,15
493,177,17
494,177,16
496,175,19
498,174,19
501,157,26
502,157,19
503,157,22
512,155,26
513,155,19
514,155,21
515,154,22
516,154,19
517,154,25
519,153,26
520,153,22
521,152,21
522,152,22
523,152,26
524,151,26
525,151,22
526,150,26
527,150,22
562,95,22
563,92,21
564,92,22
573,54,32
574,54,35
575,54,22
583,53,36
584,53,10
585,53,27
586,52,10
587,52,27
588,51,19
589,51,21
590,51,22
591,31,38
592,31,28
593,31,39
596,50,38
597,50,40
598,29,21
599,29,15
600,28,15
601,28,41
602,49,10
603,49,28
604,27,26
605,26,22
606,48,10
607,48,28
608,47,19
609,47,22
610,47,21
611,25,26
612,25,22
613,24,42
614,24,35
615,46,21
616,46,29
617,46,10
618,45,21
619,45,16
620,44,20
621,44,28
622,44,16
623,43,29
624,43,21
625,43,33
626,42,31
627,42,16
628,42,35
629,41,36
630,41,16
631,40,15
632,40,19
633,40,22
637,38,17
638,38,16
639,38,19
640,38,26
641,23,26
642,23,15
643,22,21
644,22,26
645,21,21
649,20,43
650,20,32
651,20,21
652,20,22
653,19,27
654,18,21
655,17,45
656,17,21
657,17,15
658,16,21
659,16,23
660,186,18
661,186,19
662,186,15
665,15,16
666,15,15
667,14,46
668,14,38
669,14,25
670,14,15
674,11,47
675,11,29
676,10,26
677,10,15
678,9,21
679,9,48
680,8,46
681,8,38
682,7,26
683,7,44
684,2,48
685,2,27
686,2,49
687,2,38
690,37,35
691,37,27
692,36,21
693,36,23
694,35,27
695,34,26
696,34,29
697,34,19
698,34,31
699,34,44
702,32,19
703,32,22
704,32,21
